scientific_name;genus;family;count_species_total;pct_species_total;count_species_street;pct_species_street;count_species_park;pct_species_park;biodiv_index;Moose;Flechte;Wildbienen;Schmetterlinge;Käfer;Vögel;Säugetiere;volume;growth_type;s_MEAN_dbh_cm;s_MEAN_height_m;s_MEAN_crown_m;s_MEDIAN_dbh_cm;s_MEDIAN_height_m;s_MEDIAN_crown_m;s_MAX_dbh_cm;s_MAX_height_m;s_MAX_crown_m;p_MEAN_dbh_cm;p_MEAN_height_m;p_MEAN_crown_m;p_MEDIAN_dbh_cm;p_MEDIAN_height_m;p_MEDIAN_crown_m;p_MAX_dbh_cm;p_MAX_height_m;p_MAX_crown_m;s_MEAN_age;p_MEAN_age;count_genus_total;pct_genus_all;count_genus_park;pct_genus_park;count_genus_street;pct_genus_street;count_family_total;pct_family_all;count_family_park;pct_family_park;count_family_street;pct_family_street
Abies alba ;Abies;Pinaceae;1;0.032797639;;;1.0;0.062460962;;;;;;;;;;;;;;;;;;;;21.00845249;9.0;6.0;21.00845249;9.0;6.0;21.00845249;9.0;6.0;;;5.0;0.163988193;5.0;0.312304809;;;102;3.345359134;85;5.309181761;17.0;1.174033149
Abies nordmanniana ;Abies;Pinaceae;4;0.131190554;;;4.0;0.249843848;;;;;;;;;;;;;;;;;;;;71.30141451;22.0;11.5;73.21127383;22.5;12.0;96.12958563;28.0;12.0;;;5.0;0.163988193;5.0;0.312304809;;;102;3.345359134;85;5.309181761;17.0;1.174033149
Acer campestre ;Acer;Sapindaceae;138;4.526074123;51.0;3.522099448;87.0;5.434103685;4.3;5.0;5.0;5.0;4.0;4.0;4.0;3.0;777.0;L;15.10411617;6.392156863;5.509803922;11.14084602;5.0;4.0;84.03380995;19.0;16.0;19.03639469;8.183908046;6.609195402;11.14084602;6.0;4.0;74.16620348;21.0;18.0;14.90322581;19.66666667;586.0;19.2194162;268.0;16.73953779;318.0;21.96132597;779;25.54936045;395;24.67207995;384.0;26.51933702
Acer cappadocicum ;Acer;Sapindaceae;10;0.327976386;6.0;0.414364641;4.0;0.249843848;2.9;4.0;4.0;5.0;1.0;2.0;2.0;2.0;436.0;L;49.28498071;15.83333333;14.0;44.08591924;16.5;14.0;75.75775291;22.0;20.0;25.70352331;9.5;9.25;19.89436789;8.5;8.0;56.02253997;17.0;16.0;66.8;71.0;586.0;19.2194162;268.0;16.73953779;318.0;21.96132597;779;25.54936045;395;24.67207995;384.0;26.51933702
Acer japonicum ;Acer;Sapindaceae;1;0.032797639;;;1.0;0.062460962;;;;;;;;;;;;;;;;;;;;11.14084602;4.0;4.0;11.14084602;4.0;4.0;11.14084602;4.0;4.0;;;586.0;19.2194162;268.0;16.73953779;318.0;21.96132597;779;25.54936045;395;24.67207995;384.0;26.51933702
Acer monspessulanum ;Acer;Sapindaceae;2;0.065595277;;;2.0;0.124921924;3.6;4.0;4.0;5.0;2.0;4.0;3.0;3.0;55.0;L;;;;;;;;;;3.978873578;3.5;4.0;3.978873578;3.5;4.0;4.774648293;4.0;4.0;;;586.0;19.2194162;268.0;16.73953779;318.0;21.96132597;779;25.54936045;395;24.67207995;384.0;26.51933702
Acer negundo ;Acer;Sapindaceae;1;0.032797639;1.0;0.069060773;;;3.0;5.0;4.0;5.0;1.0;3.0;1.0;2.0;132.0;L;31.19436885;14.0;12.0;31.19436885;14.0;12.0;31.19436885;14.0;12.0;;;;;;;;;;53.0;;586.0;19.2194162;268.0;16.73953779;318.0;21.96132597;779;25.54936045;395;24.67207995;384.0;26.51933702
Acer palmatum ;Acer;Sapindaceae;17;0.557559856;;;17.0;1.061836352;3.7;4.0;4.0;5.0;3.0;4.0;3.0;3.0;3942.0;S;;;;;;;;;;11.57150057;4.176470588;4.764705882;11.77746579;4.0;4.0;16.55211408;5.0;7.0;;;586.0;19.2194162;268.0;16.73953779;318.0;21.96132597;779;25.54936045;395;24.67207995;384.0;26.51933702
Acer platanoides ;Acer;Sapindaceae;190;6.231551328;160.0;11.04972376;30.0;1.873828857;4.3;5.0;5.0;5.0;4.0;4.0;4.0;5.0;3929.0;L;21.31084688;9.8375;8.09375;22.12253709;10.0;10.0;55.3859202;18.0;16.0;24.4249786;10.56666667;9.0;22.28169203;10.0;8.0;76.0760628;22.0;16.0;29.99342105;30.71428571;586.0;19.2194162;268.0;16.73953779;318.0;21.96132597;779;25.54936045;395;24.67207995;384.0;26.51933702
Acer pseudoplatanus ;Acer;Sapindaceae;224;7.34667104;99.0;6.837016575;125.0;7.807620237;;;;;;;;;;;23.90217873;9.868686869;7.909090909;24.82817112;10.0;8.0;51.56620156;18.0;14.0;31.36498295;13.2;10.032;30.55774907;14.0;10.0;79.89578143;21.0;18.0;35.52380952;36.52325581;586.0;19.2194162;268.0;16.73953779;318.0;21.96132597;779;25.54936045;395;24.67207995;384.0;26.51933702
